"x","y","path","id"
0,5,1,1
0.043034984443442,4.99981479558133,2,1
0.0860667807791734,4.99925919604558,3,1
0.129092201135664,4.99833324255256,4,1
0.172108058113729,4.99703700369852,5,1
0.215111165022652,4.99537057551115,6,1
0.258098336116269,4.99333408144238,7,1
0.301066386828965,4.99092767235929,8,1
0.344012134011599,4.98815152653293,9,1
0.386932396167315,4.98500584962508,10,1
0.429823993687232,4.98149087467304,11,1
0.451315193371594,5.23056541840669,12,1
0.406279015975681,5.23425614210633,13,1
0.361212740712179,5.23755910285958,14,1
0.316119706170413,5.24047405597726,15,1
0.271003252922082,5.2430007855145,16,1
0.225866723273785,5.24513910428671,17,1
0.180713461019415,5.24688885388345,18,1
0.135546811192448,5.24824990468018,19,1
0.0903701198181321,5.24922215584786,20,1
0.0451867336656141,5.24980553536039,21,1
0,5.25,22,1
0.429823993687232,4.98149087467304,1,2
0.472683749085996,4.97760686207238,2,2
0.515508487237174,4.97335409955761,3,2
0.558295035608472,4.96873290218089,4,2
0.601040224496764,4.9637436122887,5,2
0.643740887262904,4.95838659949645,6,2
0.686393860566324,4.95266226066111,7,2
0.728995984599373,4.94657101985183,8,2
0.771544103321406,4.94011332831849,9,2
0.814035064692584,4.93328966445829,10,2
0.856465720907388,4.9261005337803,11,2
0.899289006952757,5.17240556046932,12,2
0.854736817927213,5.1799541476812,13,2
0.810121308487476,5.18711899473441,14,2
0.765445783829342,5.19389957084442,15,2
0.72071355359464,5.20029537369417,16,2
0.675927931626049,5.20630592947127,17,2
0.631092235721602,5.21193079290314,18,2
0.586209787388896,5.21716954728994,19,2
0.541283911599033,5.22202180453549,20,2
0.496317936540296,5.22648720517599,21,2
0.451315193371594,5.23056541840669,22,2
0.856465720907388,4.9261005337803,1,3
0.898832928627811,4.91854646886805,2,3
0.941133549216221,4.91062802934,3,3
0.983364448967882,4.90234580180816,4,3
1.0255224993431,4.89370039983458,5,3
1.06760457719898,4.88469246388591,6,3
1.10960756502083,4.87532266128597,7,3
1.15152835115306,4.86559168616631,8,3
1.19336383002975,4.85550025941475,9,3
1.23511090240468,4.84504912862203,10,3
1.27676647558094,4.83423906802639,11,3
1.34060479935998,5.07595102142771,12,3
1.29686644752491,5.08730158505313,13,3
1.25303202153124,5.09827527238549,14,3
1.20910476871071,5.10887127047462,15,3
1.16508794327187,5.11908879435027,16,3
1.12098480605893,5.1289270870802,17,3
1.07679862431025,5.1383854198263,18,3
1.03253267141628,5.14746309189857,19,3
0.988190226677032,5.156159430807,20,3
0.943774575059201,5.16447379231145,21,3
0.899289006952757,5.17240556046932,22,3
1.27676647558094,4.83423906802639,1,4
1.31832746364004,4.82307087845622,2,4
1.35979078767053,4.81154538727074,3,4
1.40115337599608,4.79966344829872,4,4
1.44241216440304,4.7874259417752,5,4
1.48356409636745,4.77483377427628,6,4
1.52460612328144,4.76188787865199,7,4
1.56553520467913,4.74858921395716,8,4
1.60634830846182,4.73493876538038,9,4
1.64704241112265,4.720937544171,10,4
1.68761449797057,4.70658658756424,11,4
1.77199522286909,4.94191591694245,12,4
1.72939453167878,4.95698442137955,13,4
1.68666572388491,4.9716857036494,14,4
1.64381196491309,4.98601867465502,15,4
1.60083642944552,4.99998227258459,16,4
1.55774230118582,5.01357546299009,17,4
1.5145327726232,5.02679723886396,18,4
1.47121104479588,5.03964662071366,19,4
1.42778032705405,5.05212265663428,20,4
1.38424383682204,5.06422442237903,21,4
1.34060479935998,5.07595102142771,22,4
1.68761449797057,4.70658658756424,1,5
1.72806156335367,4.69188695870432,2,5
1.76838061088186,4.67683974656574,3,5
1.80856865364884,4.66144606587257,4,5
1.84862271445337,4.64570705701587,5,5
1.88853982601982,4.62962388596925,6,5
1.92831703121804,4.61319774420244,7,5
1.96795138328233,4.59642984859305,8,5
2.00743994602987,4.57932144133644,9,5
2.04677979407811,4.56187378985364,10,5
2.08596801306158,4.54408818669751,11,5
2.19026641371466,4.77129259603239,12,5
2.14911878378201,4.78996747934632,13,5
2.10781194333136,4.80828751340326,14,5
2.06634895244645,4.8262513410227,15,5
2.02473288277894,4.84385763141256,16,5
1.98296681732082,4.86110508026771,17,5
1.94105385017603,4.87799240986666,18,5
1.89899708633128,4.8945183691662,19,5
1.85679964142595,4.91068173389403,20,5
1.81446464152135,4.92648130663954,21,5
1.77199522286909,4.94191591694245,22,5
2.08596801306158,4.54408818669751,1,6
2.12500169984777,4.52596594945699,2,6
2.16387796275216,4.50750842065942,3,6
2.20259392175247,4.48871696767117,4,6
2.24114670870205,4.46959298259628,5,6
2.27953346754229,4.45013788217338,6,6
2.31775135451425,4.43035310767069,7,6
2.35579753836932,4.41024012477927,8,6
2.39366920057894,4.38980042350444,9,6
2.43136353554345,4.3690355180554,10,6
2.46887775079989,4.34794694673305,11,6
2.59232163833988,4.56534429406971,12,6
2.55293171232062,4.58748729395817,13,6
2.51335266060789,4.60929044467966,14,6
2.47358741528779,4.63075213101823,15,6
2.43363892223997,4.65187076305422,16,6
2.39351014091941,4.67264477628205,17,6
